population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,Demographic ID
6850540.0,51.667,27.3,5.445,3.519,5321.444,3.2,154
25252722.0,16.955,15.1,2.553,1.378,926.0,44.5,155
213401323.0,209.588,18.1,2.751,1.447,5338.454,,156
1937.0,,,,,,,157
596315269.0,,,,,,,158
25971909.0,211.701,35.3,9.491,6.139,,,159
2103330.0,82.6,39.1,13.26,8.16,13111.214,5.0,160
49481.0,119.878,,,,,,161
5403021.0,14.462,39.7,16.821,10.813,64800.057,0.2,162
44491772.0,,,,,,,163
4520471.0,14.98,30.7,2.355,1.53,37960.709,,164
231402116.0,255.573,23.5,4.495,2.78,5034.708,4.0,165
18024.0,47.237,,,,13240.405,,166
5133392.0,778.202,20.4,3.043,1.726,4449.898,1.0,167
4351267.0,55.133,29.7,7.918,5.03,22267.037,2.2,168
9949437.0,18.22,22.6,3.808,2.142,3823.194,,169
6703799.0,17.144,26.5,6.378,3.833,8827.01,1.7,170
33715472.0,25.129,29.1,7.151,4.455,12236.706,3.5,171
113880328.0,351.873,25.2,4.803,2.661,7599.188,,172
47.0,,,,,,,173
38307726.0,124.027,41.8,16.763,10.202,27216.445,,174
10290103.0,112.371,46.2,21.502,14.924,27936.896,0.5,175
3256028.0,376.232,38.2,15.168,9.829,35044.67,,176
2688235.0,227.322,31.9,1.307,0.617,116935.6,,177
19328560.0,85.129,43.0,17.85,11.69,23313.199,5.7,178
145102755.0,8.823,39.6,14.178,9.393,24765.954,0.1,179
13461888.0,494.869,20.3,2.974,1.642,1854.211,56.0,180
5404.0,,,,,,,181
47606.0,212.865,,,,24654.385,,182
179652.0,293.187,34.9,9.721,6.405,12951.839,,183
5883.0,,,,,,,184
104332.0,281.787,31.8,7.724,4.832,10727.146,,185
218764.0,69.413,22.0,5.606,3.564,6021.557,,186
33746.0,556.667,,,,56861.47,,187
223107.0,212.841,18.7,2.886,2.162,3052.714,32.3,188
35950396.0,15.322,31.9,3.295,1.845,49045.411,,189
16876720.0,82.328,18.7,3.008,1.796,2470.58,38.0,190
6871547.0,80.291,41.2,17.366,,14048.881,,191
106470.0,208.354,36.2,8.606,5.586,26382.287,1.1,192
8420641.0,104.7,19.1,2.538,1.285,1390.3,52.2,193
5453600.0,7915.731,42.4,12.922,7.049,85535.383,,194
44042.0,1209.088,,,,36327.232,,195
5447622.0,113.128,41.2,15.07,9.167,30155.152,0.7,196
2119410.0,102.619,44.5,19.062,12.93,31400.84,,197
707851.0,21.841,20.8,3.507,2.043,2205.923,25.1,198
17065581.0,23.5,16.8,2.731,1.496,,,199
59392255.0,46.754,27.3,5.344,3.053,12294.876,18.9,200
433956670.0,,,,,,,201
51830139.0,527.967,43.4,13.914,8.622,35938.374,0.2,202
10748272.0,,19.2,3.441,2.032,1569.888,,203
47486935.0,93.105,45.5,19.436,13.799,34272.36,1.0,204
21773441.0,341.955,34.1,10.069,5.331,11669.077,0.7,205
45657202.0,23.258,19.7,3.548,2.034,4466.507,,206
612984.0,3.612,29.6,6.933,4.229,13767.119,,207
10467097.0,24.718,41.0,19.985,13.433,46949.283,0.5,208
8691406.0,214.243,43.1,18.436,12.644,57410.166,,209
21324367.0,,21.7,,2.577,,,210
23859912.0,,42.2,,8.353,,,211
9750064.0,64.281,23.3,3.466,2.155,2896.913,4.8,212
63588334.0,64.699,17.7,3.108,1.874,2683.304,49.1,213
71601103.0,135.132,40.1,11.373,6.89,16277.671,0.1,214
1320942.0,87.176,18.0,3.556,1.897,6570.102,30.3,215
8644829.0,143.366,19.4,2.839,1.525,1429.813,49.2,216
1849.0,,,,,,,217
106017.0,150.028,22.3,5.82,4.032,5425.621,,218
1525663.0,266.886,36.2,10.014,5.819,28763.071,,219
12262946.0,74.228,32.7,8.001,5.075,10849.297,2.0,220
84775404.0,104.914,31.6,8.153,5.061,25129.341,0.2,221
6341855.0,12.253,26.9,4.277,2.541,16389.023,,222
45114.0,37.312,,,,,,223
11204.0,373.067,,,,3575.104,3.3,224
45853778.0,213.759,16.4,2.168,1.308,1697.707,41.6,225
43531422.0,77.39,41.4,16.462,11.133,7894.393,0.1,226
9365144.0,112.442,34.0,1.144,0.526,67293.483,,227
67281040.0,272.898,40.8,18.517,12.527,39753.244,0.2,228
